,Unnamed: 0,title,time_since_posted,year,kilometers,trim,location,price,im_link
277,277,تیبا,دیروز,1395,58000,SX بنزینی,کرج / آزادگان,240000000.0,/images/default-images/default-car-white.svg
278,278,تیبا,دیروز,1396,220000,SX بنزینی,تهران / عباس‌آباد,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/ffe793ab-e72b-41e4-a509-6fcf2668c2c0/CarImage_638374778286284009_thumb_900_600.jpg?width=270
279,279,تیبا,دیروز,1396,112000,EX,لنگرود / لنگرود,255000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/0f328893-663f-4051-a8f0-1583f9386bd1/CarImage_638374955110179660_thumb_900_600.jpg?width=270
280,280,ساینا,دیروز,1402,0,دنده ای بنزینی,تهران / بلوار استقلال,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/fb9766b8-d72a-4878-bcd4-5c8af6a4a10b/CarImage_638374770818721130_thumb_900_600.jpeg?width=270
281,281,پراید,دیروز,1402,0,SE,تهران / شهرآرا,272000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/1cfa974f-cf3f-4376-8c3c-04a4e1efb764/CarImage_638375519834790508_thumb_900_600.jpg?width=270
282,282,سیتروئن,دیروز,1398,23000,اتوماتیک,تهران / سعادت‌آباد,1780000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/9784e38a-2fea-45b8-b7ad-bdfab7a51f95/CarImage_638374758082513535_thumb_900_600.jpeg?width=270
283,283,پراید,دیروز,1395,74000,SE,تهران / تهرانپارس شرقی,232000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/9d6f68f1-9197-45f3-a701-419e09ceae34/CarImage_638374753750283405_thumb_900_600.jpg?width=270
284,284,کوییک,دیروز,1402,0,دنده ای,قدس,349000000.0,/images/default-images/default-car-white.svg
285,285,کوییک,دیروز,1402,0,اتوماتیک,تهران / عباس آباد,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/dce70ded-da57-4150-9910-0d69b53036f7/CarImage10514699_638204394699351737_thumb_900_600.jpg?width=270
286,286,کوییک,دیروز,1401,0,دنده ای,تهران / اختیاریه,,/images/default-images/default-car-white.svg
287,287,شاهین,دیروز,1402,0,دنده ای,تهران / بلوار استقلال,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/f4edbd9a-4754-4b1a-bafa-02416566a938/CarImage_638374738658621074_thumb_900_600.jpeg?width=270
288,288,کوییک,دیروز,1402,0,دنده ای,تهران / بلوار استقلال,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/b71b49c1-5715-4a3d-8e7f-2ee0a77d10dd/CarImage_638374737696595300_thumb_900_600.jpeg?width=270
289,289,تیبا,دیروز,1401,0,EX,شهریار,328000000.0,/images/default-images/default-car-white.svg
